ID,bac_com,fun_com,bf_com,bac,fun,bf,type,pH,WC,Clay,silt,Sand,TN,TP,TC,MAP,site,Richness1,Shannon1,PD1,pcoa1,CopyNumber,Shannon2,Richness2,pd2,pcoa2,nw1,nw2,shannon,Richness,soil.1,div.1,com.1,nc.1,nw.1,MAT,plantdiv,ST,ALT
Bacteria_F101_raw,0.465842911,0.168539326,0.469952735,0.053401525,0.039069359,0.003163192,Grassland,7.78,9.34387815,2.426,95.069,2.505,2.93060532,0.407483066,27.9876161,365.7710426,s10,6673,7.950010444,177.03948,-0.317558251,1.218320199,5.125611516,731,216.88464,-0.179481858,1.647413278,1.259644347,13.07562196,7404,-1.681921183,-0.160126445,-0.523676122,1.340598306,0.765577429,2.974406378,0.758334895,Chestnut soil,1060.4
Bacteria_F102_raw,0.456809415,0.152941176,0.463808025,0.051720458,0.03962704,0.002898022,Grassland,7.83,7.74291498,1.888,94.785,3.327,2.91849154,0.399650579,27.5,365.7710426,s10,6478,7.859794104,171.80821,-0.314840307,1.155206299,5.552410534,851,217.13459,0.049724003,1.647413278,1.259644347,13.41220464,7329,-1.459332985,-0.107376056,-0.802587159,0.601155033,0.765577429,2.974406378,0.704698587,Chestnut soil,1060.4
Bacteria_F103_raw,0.460277951,0.146341463,0.464118565,0.055316442,0.040674603,0.002958737,Grassland,7.85,7.86014721,1.779,95.679,2.542,2.74473684,0.394751112,27.15389186,365.7710426,s10,6177,7.799409136,166.87694,-0.326265007,1.150431057,4.716993875,576,186.66263,-0.238285961,1.647413278,1.259644347,12.51640301,6753,-1.441982807,-1.069802197,-0.715556779,1.426689096,0.765577429,2.974406378,0.722072017,Chestnut soil,1060.4
Bacteria_F11_raw,0.493916015,0.219178082,0.540253613,0.05018797,0.033016735,0.002694497,Grassland,8.69,0.21312873,1.444,39.266,59.29,0.34654629,0.191926567,3.18903866,253.9512142,s1,7973,8.333146458,210.08147,-0.347079577,1.499347989,4.825632485,939,260.61237,0.225299086,1.680159363,1.254849296,13.15877894,8912,1.802173551,0.961995876,0.844474275,-0.015889098,1.114875235,2.658510127,0.761278979,Chestnut soil,1208.16
Bacteria_F111_raw,0.468322818,0.162162162,0.633653846,0.049827914,0.036963037,0.002815605,Mountain,6.37,23.98897059,1.776,97.738,0.486,4.59590711,0.607896386,58.35347838,372.6872753,s11,5984,7.742794682,151.66837,0.373808871,1.481607689,5.513861465,1289,326.36859,0.237508539,1.722058918,1.259293752,13.25665615,7273,-5.429771388,-0.565875551,1.139292685,0.091341006,1.685395076,2.658510127,0.809674556,Grey forest soil,1208.16
Bacteria_F112_raw,0.451780031,0.166666667,0.661111111,0.050777007,0.044720497,0.00281602,Mountain,6.18,22.74897681,1.808,94.922,3.27,4.70009681,0.709663266,59.9380805,372.6872753,s11,5587,7.696770994,146.46518,0.381880214,1.448169876,5.228906156,863,247.8888,0.251884614,1.722058918,1.259293752,12.92567715,6450,-5.692258427,-0.986340011,1.00756798,0.285920464,1.685395076,2.658510127,0.785846422,Grey forest soil,1208.16
Bacteria_F113_raw,0.471205896,0.14893617,0.65,0.05344315,0.043822844,0.002477321,Mountain,6.15,18.46153846,1.99,98.01,0,3.02304284,0.588557051,35.03836317,372.6872753,s11,5511,7.494880455,143.27143,0.376600672,1.459510558,4.080451145,640,210.16829,0.177201173,1.722058918,1.259293752,11.5753316,6151,-4.001526895,-2.740401873,1.369162904,0.325110135,1.685395076,3.567139311,0.798539094,Grey forest soil,1226.43
Bacteria_F12_raw,0.493976774,0.149425287,0.533024691,0.050658703,0.043154762,0.002723483,Grassland,8.63,0.25875796,2.266,49.222,48.512,0.43702466,0.189066551,4.30062759,253.9512142,s1,7712,8.297172803,198.30989,0.233602362,1.541698142,5.427379959,942,240.81521,0.215327218,1.680159363,1.254849296,13.72455276,8654,1.612230485,1.367106747,0.775161821,0.123587147,1.114875235,3.567139311,0.60842084,Chestnut soil,1226.43
Bacteria_F121_raw,0.425088614,0.282051282,0.736408567,0.049664453,0.026262626,0.002232003,Mountain,6.09,8.0381891,1.161,98.839,0,3.43362985,0.466876972,41.23241688,348.7996105,s12,5163,7.645298915,140.91406,0.22879543,1.682187262,2.969484407,595,170.9925,0.268992416,1.69652874,1.237396271,10.61478332,5758,-2.957977382,-3.183772101,1.098535627,-0.813373201,1.113615594,3.567139311,0.666950544,Aeolian sandy soil,1226.43
Bacteria_F122_raw,0.428389182,0.224137931,0.739427012,0.048060495,0.033898305,0.002548138,Mountain,6.18,6.58893709,0.78,97.878,1.342,3.20341261,0.446963216,34.39321675,348.7996105,s12,5828,7.891064661,150.5628,0.23322283,1.617036428,2.882187255,593,180.6379,0.259858475,1.69652874,1.237396271,10.77325192,6421,-2.441536206,-2.370417853,1.208013806,-0.66917884,1.113615594,2.932990491,0.810629286,Aeolian sandy soil,1420.88
